名称,シンドローム,最大Lv,タイミング,技能,難易度,対象,射程,侵蝕値,制限,,効果,内容,侵触率基本値,ｲｰｼﾞｰ,ｴﾈﾐｰ,ﾀﾞｲｽ,C値,C下,達成値,ATK,ID(検索用),出典,備考,,,簡単効果,,,,
命の盾,ソラリス,1,リアクション,交渉,対決,自身,至近,1,-,,このエフェクトを組み合わせた判定で、あなたはドッジを行なえる。,特殊なフェロモンを生成、発散することで虫やネズミなどを大量に呼び寄せ、それを盾にして攻撃を避けるエフェクト。,,FALSE,FALSE,,,,,,692,2,,,,整備中！まってね,特殊なフェロモンを生成、発散することで虫やネズミなどを大量に呼び寄せ、それを盾にして攻撃を避けるエフェクト。このエフェクトを組み合わせた判定で、あなたはドッジを行なえる。,特殊なフェロモンを生成、発散することで虫やネズミなどを大量に呼び寄せ、それを盾にして攻撃を避ける,このエフェクトを組み合わせた判定で、あなたはドッジを行なえる。,
茨の輪,ソラリス,5,メジャーアクション,RC,対決,-,視界,2,-,,射撃攻撃を行なう。命中した場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを-LV個する。,痛覚を刺激する毒物を生成し、塗布するエフェクト。,,FALSE,FALSE,,,,,,693,2,,,,整備中！まってね,痛覚を刺激する毒物を生成し、塗布するエフェクト。射撃攻撃を行なう。命中した場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを-LV個する。,痛覚を刺激する毒物を生成し、塗布する,射撃攻撃を行なう。命中した場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを-LV個する。,
完全抗体,ソラリス,3,リアクション,効果参照,対決,自身,至近,1,-,,あらゆるリアクションの判定に組み合わせることができる。組み合わせた判定のダイスを+LV個する。ただし、アクション側が判定にエフェクトを使用していない場合、このエフェクトは使用できない。,体内に様々な抗体を持つ、あるいは即座に抗体を生成することで毒物や薬物の効果を打ち消すエフェクト。,,FALSE,FALSE,,,,,,696,2,,,,整備中！まってね,体内に様々な抗体を持つ、あるいは即座に抗体を生成することで毒物や薬物の効果を打ち消すエフェクト。あらゆるリアクションの判定に組み合わせることができる。組み合わせた判定のダイスを+LV個する。ただし、アクション側が判定にエフェクトを使用していない場合、このエフェクトは使用できない。,体内に様々な抗体を持つ、あるいは即座に抗体を生成することで毒物や薬物の効果を打ち消す,あらゆるリアクションの判定に組み合わせることができる。組み合わせた判定のダイスを+LV個する。ただし、アクション側が判定にエフェクトを使用していない場合、このエフェクトは使用できない。,
恐怖の一言,ソラリス,5,メジャーアクション,交渉,対決,単体,至近,2,-,,射撃攻撃を行なう。命中した場合、対象はエンゲージから[LV×2]m移動する。この移動では、離脱を行なえる。対象がどう移動するかはあなたが決定する。,恐怖を刺激する薬物を生成し、対象を後退させるエフェクト。,,FALSE,FALSE,,,,,,697,2,,,,整備中！まってね,恐怖を刺激する薬物を生成し、対象を後退させるエフェクト。射撃攻撃を行なう。命中した場合、対象はエンゲージから[LV×2]m移動する。この移動では、離脱を行なえる。対象がどう移動するかはあなたが決定する。,恐怖を刺激する薬物を生成し、対象を後退させる,射撃攻撃を行なう。命中した場合、対象はエンゲージから[LV×2]m移動する。この移動では、離脱を行なえる。対象がどう移動するかはあなたが決定する。,
苦痛の矢,ソラリス,5,マイナーアクション,-,自動成功,自身,至近,4,-,,"そのシーンの間、あなたは以下のデータの武器を作成し、装備する。
種別：射撃　技能：〈射撃〉
命中：0　攻撃力：[Lv×2+2]
ガード値：0　射程：視界",苦痛を刺激する化学物質を作り出すエフェクト。,,FALSE,FALSE,,,,,,698,2,,,,整備中！まってね,苦痛を刺激する化学物質を作り出すエフェクト。そのシーンの間、あなたは以下のデータの武器を作成し、装備する。種別:射撃技能:(射撃)命中:0攻撃力:+[LV+2]ガード値:―射程:視界,苦痛を刺激する化学物質を作り出す,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。種別:射撃技能:(射撃)命中:0攻撃力:+[LV+2]ガード値:―射程:視界,
罪人の枷,ソラリス,10,メジャーアクション,白兵/射撃,対決,単体,武器,3,-,,このエフェクトを組み合わせた攻撃が命中した場合、そのラウンドの間、対象が行なう判定の達成値を-[LV×2]する。,強い粘着性を持った物質を生成し、武器に塗布することで対象の動きを制限するエフェクト。,,FALSE,FALSE,,,,,,700,2,,,,整備中！まってね,強い粘着性を持った物質を生成し、武器に塗布することで対象の動きを制限するエフェクト。このエフェクトを組み合わせた攻撃が命中した場合、そのラウンドの間、対象が行なう判定の達成値を-[LV×2]する。,強い粘着性を持った物質を生成し、武器に塗布することで対象の動きを制限する,このエフェクトを組み合わせた攻撃が命中した場合、そのラウンドの間、対象が行なう判定の達成値を-[LV×2]する。,
タブレット,ソラリス,3,オートアクション,-,自動成功,自身,至近,2,-,,あなたがソラリスのエフェクトを使用する直前に使用する。そのエフェクトの射程を「射程：視界」に変更する。組み合わせて使用している場合は、そのすべてを変更する。このエフェクトは1シーンにLV回まで使用できる。,生成した物質を、固体に変え、投げつけるエフェクト。,,FALSE,FALSE,,,,,,704,2,,,,整備中！まってね,生成した物質を、固体に変え、投げつけるエフェクト。あなたがソラリスのエフェクトを使用する直前に使用する。そのエフェクトの射程を「射程:視界」に変更する。組み合わせて使用している場合は、そのすべてを変更する。このエフェクトは1シーンにLV回まで使用できる。,生成した物質を、固体に変え、投げつける,あなたがソラリスのエフェクトを使用する直前に使用する。そのエフェクトの射程を「射程:視界」に変更する。組み合わせて使用している場合は、そのすべてを変更する。このエフェクトは1シーンにLV回まで使用できる。,
彫像の声,ソラリス,3,メジャーアクション,交渉,対決,単体,視界,4,-,,射撃攻撃を行なう。命中した場合、そのシーンの間、対象の【行動値】を-[LV×5]する。この効果はマイナーアクションを使用することで解除できる,運動神経を麻痺させる物質を生成し、発散するエフェクト。,,FALSE,FALSE,,,,,,706,2,,,,整備中！まってね,運動神経を麻痺させる物質を生成し、発散するエフェクト。射撃攻撃を行なう。命中した場合、そのシーンの間、対象の【行動値】を-[LV×5]する。この効果はマイナーアクションを使用することで解除できる,運動神経を麻痺させる物質を生成し、発散する,射撃攻撃を行なう。命中した場合、そのシーンの間、対象の【行動値】を-[LV×5]する。この効果はマイナーアクションを使用することで解除できる,
止まらずの舌,ソラリス,3,メジャーアクション,RC,対決,単体,至近,3,-,,対象の(意志〉と対決を行なう。勝利すると、対象はあなたの行なう質問ひとつに答えなければならない。GMはこのエフェクトの使用を禁止してもよい。その場合、侵蝕値は上昇せず、使用回数も減少しない。このエフェクトは1シナリオにLV回まで使用できる。,神経系に作用する自白剤を生成し、対象に真実を告白させるエフェクト。,,FALSE,FALSE,,,,,,708,2,,,,整備中！まってね,神経系に作用する自白剤を生成し、対象に真実を告白させるエフェクト。対象の(意志〉と対決を行なう。勝利すると、対象はあなたの行なう質問ひとつに答えなければならない。GMはこのエフェクトの使用を禁止してもよい。その場合、侵蝕値は上昇せず、使用回数も減少しない。このエフェクトは1シナリオにLV回まで使用できる。,神経系に作用する自白剤を生成し、対象に真実を告白させる,対象の(意志〉と対決を行なう。勝利すると、対象はあなたの行なう質問ひとつに答えなければならない。GMはこのエフェクトの使用を禁止してもよい。その場合、侵蝕値は上昇せず、使用回数も減少しない。このエフェクトは1シナリオにLV回まで使用できる。,
人形使い,ソラリス,3,メジャーアクション,交渉,対決,単体,視界,5,-,,このエフェクトはオーヴァードには効果を適用しない。対象の〈意志〉と対決を行なう。勝利すると、対象に命令をひとつ行なうことができる。それがどのようなものであれ、対象は可能な限り実行する。このエフェクトは1シナリオにLV回まで使用できる。,幻覚物質により、非オーヴァードの対象を自在に操るエフェクト。,,FALSE,FALSE,,,,,,711,2,,,,整備中！まってね,幻覚物質により、非オーヴァードの対象を自在に操るエフェクト。このエフェクトはオーヴァードには効果を適用しない。対象の<意志〉と対決を行なう。勝利すると、対象に命令をひとつ行なうことができる。それがどのようなものであれ、対象は可能な限り実行する。このエフェクトは1シナリオにLV回まで使用できる。,幻覚物質により、非オーヴァードの対象を自在に操る,このエフェクトはオーヴァードには効果を適用しない。対象の<意志〉と対決を行なう。勝利すると、対象に命令をひとつ行なうことができる。それがどのようなものであれ、対象は可能な限り実行する。このエフェクトは1シナリオにLV回まで使用できる。,
眠りの粉,ソラリス,3,メジャーアクション,RC,対決,単体,視界,1,-,,トループのみを対象にできる。射撃攻撃を行なう。命中した場合、対象を戦闘不能とする。このエフェクトを組み合わせた攻撃で、対象にHPダメージを与えることはできない。このエフェクトは1シナリオにLV回まで使用できる。,麻酔物質を生成し、散布することで非力な対象を無力化するエフェクト。,,FALSE,FALSE,,,,,,713,2,,,,整備中！まってね,麻酔物質を生成し、散布することで非力な対象を無力化するエフェクト。トループのみを対象にできる。射撃攻撃を行なう。命中した場合、対象を戦闘不能とする。このエフェクトを組み合わせた攻撃で、対象にHPダメージを与えることはできない。このエフェクトは1シナリオにLV回まで使用できる。,麻酔物質を生成し、散布することで非力な対象を無力化する,トループのみを対象にできる。射撃攻撃を行なう。命中した場合、対象を戦闘不能とする。このエフェクトを組み合わせた攻撃で、対象にHPダメージを与えることはできない。このエフェクトは1シナリオにLV回まで使用できる。,
破滅の言霊,ソラリス,1,メジャーアクション,交渉,対決,単体,至近,2,-,,射撃攻撃を行なう。命中した場合、対象にバッドステータスの放心を与える。,気力を奪う薬物を生成し、対象の行動を萎えさせるエフェクト。,,FALSE,FALSE,,,,,,714,2,,,,整備中！まってね,気力を奪う薬物を生成し、対象の行動を萎えさせるエフェクト。射撃攻撃を行なう。命中した場合、対象にバッドステータスの放心を与え,気力を奪う薬物を生成し、対象の行動を萎えさせる,射撃攻撃を行なう。命中した場合、対象にバッドステータスの放心を与え,
腐食の指先,ソラリス,5,メジャーアクション,白兵/射撃,対決,単体,武器,2,-,,このエフェクトを組み合わせた攻撃が命中した場合、そのシーンの間、対象の装甲値を-[LV×5](最低0)する。,物質を急速に劣化させる腐食物質を生成し、それを利用して、無機物を破壊するエフェクト。,,FALSE,FALSE,,,,,,715,2,,,,整備中！まってね,物質を急速に劣化させる腐食物質を生成し、それを利用して、無機物を破壊するエフェクト。このエフェクトを組み合わせた攻撃が命中した場合、そのシーンの間、対象の装甲値を-[LV×5](最低0)す,物質を急速に劣化させる腐食物質を生成し、それを利用して、無機物を破壊する,このエフェクトを組み合わせた攻撃が命中した場合、そのシーンの間、対象の装甲値を-[LV×5](最低0)す,
群れの召喚,ソラリス,3,リアクション,効果参照,対決,自身,至近,1,-,,《命の盾》と組み合わせて使用する。このエフェクトを組み合わせた判定のダイスを+LV個する。,特殊なフェロモンにより、小動物や昆虫などをさらに多く集め、攻撃を回避しやすくするエフェクト。,,FALSE,FALSE,,,,,,717,2,,,,整備中！まってね,特殊なフェロモンにより、小動物や昆虫などをさらに多く集め、攻撃を回避しやすくするエフェクト。《命の盾》と組み合わせて使用する。このエフェクトを組み合わせた判定のダイスを+LV個する。,特殊なフェロモンにより、小動物や昆虫などをさらに多く集め、攻撃を回避しやすくする,《命の盾》と組み合わせて使用する。このエフェクトを組み合わせた判定のダイスを+LV個する。,
盲目の羊,ソラリス,5,オートアクション,-,自動成功,単体,至近,3,-,,対象が判定を行なう直前に使用する。その判定のダイスを-[LV+1]個する。このエフェクトは1ラウンドに1回まで使用できる。,視覚を阻害する物質を生成、散布することで、対象の行動を妨害するエフェクト。,,FALSE,FALSE,,,,,,719,2,,,,ラウンド1、-[Lv+1]D,視覚を阻害する物質を生成、散布することで、対象の行動を妨害するエフェクト。対象が判定を行なう直前に使用する。その判定のダイスを-[LV+1]個する。このエフェクトは1ラウンドに1回まで使用できる。,視覚を阻害する物質を生成、散布することで、対象の行動を妨害する,対象が判定を行なう直前に使用する。その判定のダイスを-[LV+1]個する。このエフェクトは1ラウンドに1回まで使用できる。,
さらなる力,ソラリス,1,メジャーアクション,RC,20,単体,至近,5,80%,,行動済みの対象に使用することで、対象は未行動になる。このエフェクトの対象は変更できない。このエフェクトは1ラウンドに1回まで使用できる。,興奮物質の分泌をうながし、動けないものを再び動かすエフェクト。,,FALSE,FALSE,,,,,,723,2,,,,整備中！まってね,興奮物質の分泌をうながし、動けないものを再び動かすエフェクト。行動済みの対象に使用することで、対象は未行動になる。このエフェクトの対象は変更できない。このエフェクトは1ラウンドに1回まで使用できる。,興奮物質の分泌をうながし、動けないものを再び動かす,行動済みの対象に使用することで、対象は未行動になる。このエフェクトの対象は変更できない。このエフェクトは1ラウンドに1回まで使用できる。,
奇跡の雫,ソラリス,3,オートアクション,-,自動成功,単体,視界,6,100%,,対象が戦闘不能となった時に使用する。対象は戦闘不能を回復し、HPを[LV×5]まで回復する。このエフェクトはあなたを対象にできず、1シナリオに1回まで使用できる。,レネゲイドを濃縮した物質を生成し、生命力を活性化させるエフェクト。,,FALSE,FALSE,,,,,,726,2,,,,整備中！まってね,レネゲイドを濃縮した物質を生成し、生命力を活性化させるエフェクト。対象が戦闘不能となった時に使用する。対象は戦闘不能を回復し、HPを[LV×5]まで回復する。このエフェクトはあなたを対象にできず、1シナリオに1回まで使用できる。,レネゲイドを濃縮した物質を生成し、生命力を活性化させる,対象が戦闘不能となった時に使用する。対象は戦闘不能を回復し、HPを[LV×5]まで回復する。このエフェクトはあなたを対象にできず、1シナリオに1回まで使用できる。,
堕ちる絶望,ソラリス,5,メジャーアクション,RC,対決,単体,視界,4D10,120%,,対象の〈意志〉と対決する。勝利すると、対象がオーヴァードの場合、衝動判定が発生する。この際、難易度は[LV×3]となる。対象が非オーヴァードの場合、オーヴァードとして覚醒する可能性がある。詳細はGMが決定すること。,対象に強烈な精神的負荷をかけ、衝動を刺激するエフェクト。,,FALSE,FALSE,,,,,,729,2,,,,整備中！まってね,対象に強烈な精神的負荷をかけ、衝動を刺激するエフェクト。対象の(意志)と対決する。勝利すると、対象がオーヴァードの場合、衝動判定が発生する。この際、難易度は[LV×3]となる。対象が非オーヴァードの場合、オーヴァードとして覚醒する可能性がある。詳細はGMが決定すること。,対象に強烈な精神的負荷をかけ、衝動を刺激する,対象の(意志)と対決する。勝利すると、対象がオーヴァードの場合、衝動判定が発生する。この際、難易度は[LV×3]となる。対象が非オーヴァードの場合、オーヴァードとして覚醒する可能性がある。詳細はGMが決定すること。,
帰還の声,ソラリス,1,オートアクション,-,自動成功,単体,視界,6,ピュアブリード,,いつでも使用できる。対象の取得しているエフェクトのうち、使用回数制限のあるエフェクトひとつの使用回数を1回ぶん回復させる。このエフェクトは1シナリオに1回まで使用できる。,安定剤を生成し、投与することで、対象の精神を落ち着かせるエフェクト。,,FALSE,FALSE,,,,,,731,2,,,,整備中！まってね,安定剤を生成し、投与することで、対象の精神を落ち着かせるエフェクト。いつでも使用できる。対象の取得しているエフェクトのうち、使用回数制限のあるエフェクトひとつの使用回数を1回ぶん回復させる。このエフェクトは1シナリオに1回まで使用できる。,安定剤を生成し、投与することで、対象の精神を落ち着かせる,いつでも使用できる。対象の取得しているエフェクトのうち、使用回数制限のあるエフェクトひとつの使用回数を1回ぶん回復させる。このエフェクトは1シナリオに1回まで使用できる。,
快楽の香気,ソラリス,1,メジャーアクション,-,自動成功,効果参照,至近,-,-,,"においを嗅ぐだけで恍惚とするような快楽物質を散布するエフェクト。
量を調節することで単に人を集めたり、快楽で気絶させてしまうこともできる。ただしこの効果は、エキストラに対してしか効果を持たない。",においを嗅ぐだけで恍惚とするような快楽物質を散布するエフェクト。,,TRUE,FALSE,,,,,,737,2,,,,整備中！まってね,においを嗅ぐだけで恍惚とするような快楽物質を散布するエフェクト。量を調節することで単に人を集めたり、快楽で気絶させてしまうこともできる。ただしこの効果は、エキストラに対してしか効果を持たない。,においを嗅ぐだけで恍惚とするような快楽物質を散布する,量を調節することで単に人を集めたり、快楽で気絶させてしまうこともできる。ただしこの効果は、エキストラに対してしか効果を持たない。,
隠し味,ソラリス,1,メジャーアクション,-,自動成功,効果参照,至近,-,-,,"特定の化学物質を作り出し、食事の味を向上させるエフェクト。
生肉を甘い果実のような味にすることもできる。ただし、栄養価は変わらない。味に対してキャラクターがどのように感じるかは、GMが決定する。",特定の化学物質を作り出し、食事の味を向上させるエフェクト。,,TRUE,FALSE,,,,,,738,2,,,,整備中！まってね,特定の化学物質を作り出し、食事の味を向上させるエフェクト。生肉を甘い果実のような味にすることもできる。ただし、栄養価は変わらない。味に対してキャラクターがどのように感じるかは、GMが決定する。,特定の化学物質を作り出し、食事の味を向上させる,生肉を甘い果実のような味にすることもできる。ただし、栄養価は変わらない。味に対してキャラクターがどのように感じるかは、GMが決定する。,
元気の水,ソラリス,1,メジャーアクション,-,自動成功,単体,至近,-,-,,"栄養満点の水を作り出すエフェクト。
これを飲むことで、疲れが取れる。ただし、HPが回復したり、バッドステータスが回復するような効果はない。具体的な効果はGMが決定する。GMは必要と感じたなら、〈RC〉による判定を行なわせてもよい。",栄養満点の水を作り出すエフェクト。,,TRUE,FALSE,,,,,,739,2,,,,整備中！まってね,栄養満点の水を作り出すエフェクト。これを飲むことで、疲れが取れる。ただし、HPが回復したり、バッドステータスが回復するような効果はない。具体的な効果はGMが決定する。GMは必要と感じたなら、《RC)による判定を行なわせてもよい。,栄養満点の水を作り出す,これを飲むことで、疲れが取れる。ただし、HPが回復したり、バッドステータスが回復するような効果はない。具体的な効果はGMが決定する。GMは必要と感じたなら、《RC)による判定を行なわせてもよい。,
声なき声,ソラリス,1,メジャーアクション,-,自動成功,シーン(選択),視界,-,-,,"幻覚伝達物質を媒介にして、みずからの思念を離れた場所にいる誰かに伝えるエフェクト。
相手の考えていることも、相手が心を開いてくれたなら聞くことができる。GMは必要と感じたなら、〈RC〉による判定を行なわせてもよい。",幻覚伝達物質を媒介にして、みずからの思念を離れた場所にいる誰かに伝えるエフェクト。,,TRUE,FALSE,,,,,,740,2,,,,整備中！まってね,幻覚伝達物質を媒介にして、みずからの思念を離れた場所にいる誰かに伝えるエフェクト。相手の考えていることも、相手が心を開いてくれたなら聞くことができる。GMは必要と感じたなら、<RC)による判定を行なわせてもよい。,幻覚伝達物質を媒介にして、みずからの思念を離れた場所にいる誰かに伝える,相手の考えていることも、相手が心を開いてくれたなら聞くことができる。GMは必要と感じたなら、<RC)による判定を行なわせてもよい。,
細菌環境操作,ソラリス,1,メジャーアクション,-,自動成功,シーン(選択),視界,-,-,,"細菌環境を操作するエフェクト。
有害菌を排除して無菌室に似た環境を作り出したり、醸造や発酵を完全に制御することができる。また、完璧に細菌環境が制御された環境で過ごすことで、免疫機構を強化し健康を増進することも可能である。GMは必要と感じたなら、〈RC〉による判定を行なわせてもよい。",細菌環境を操作するエフェクト。,,TRUE,FALSE,,,,,,741,2,,,,整備中！まってね,細菌環境を操作するエフェクト。有害菌を排除して無菌室に似た環境を作り出したり、醸造や発酵を完全に制御することができる。また、完璧に細菌環境が制御された環境で過ごすことで、免疫機構を強化し健康を増進することも可能である。GMは必要と感じたなら、<RC)による判定を行なわせてもよい。,細菌環境を操作する,有害菌を排除して無菌室に似た環境を作り出したり、醸造や発酵を完全に制御することができる。また、完璧に細菌環境が制御された環境で過ごすことで、免疫機構を強化し健康を増進することも可能である。GMは必要と感じたなら、<RC)による判定を行なわせてもよい。,
竹馬の友,ソラリス,1,メジャーアクション,-,自動成功,単体,視界,-,-,,"幻覚物質によって対象の認識をかく乱し、その信頼を得るエフェクト。
対象はあなたを信頼できる友と思い込んでしまう。ただしこの効果は、エキストラに対してしか効果を持たない。GMは必要と感じたなら、〈交渉〉による判定を行なわせてもよい。",幻覚物質によって対象の認識をかく乱し、その信頼を得るエフェクト。,,TRUE,FALSE,,,,,,742,2,,,,整備中！まってね,幻覚物質によって対象の認識をかく乱し、その信頼を得るエフェクト。対象はあなたを信頼できる友と思い込んでしまう。ただしこの効果は、エキストラに対してしか効果を持たない。GMは必要と感じたなら、(交渉〉による判定を行なわせてもよい。,幻覚物質によって対象の認識をかく乱し、その信頼を得る,対象はあなたを信頼できる友と思い込んでしまう。ただしこの効果は、エキストラに対してしか効果を持たない。GMは必要と感じたなら、(交渉〉による判定を行なわせてもよい。,
虹の香り,ソラリス,1,メジャーアクション,-,自動成功,シーン,視界,-,-,,"特定のにおいを発生させる化学物質を作り出すエフェクト。
使用することで、シーンを望むにおいで満たすことができる。GMは状況により、効果の範囲を制限してもよい。GMは必要と感じたなら、〈RC〉による判定を行なわせてもよい。",特定のにおいを発生させる化学物質を作り出すエフェクト。,,TRUE,FALSE,,,,,,743,2,,,,整備中！まってね,特定のにおいを発生させる化学物質を作り出すエフェクト。使用することで、シーンを望むにおいで満たすことができる。GMは状況により、効果の範囲を制限してもよい。GMは必要と感じたなら、<RC)による判定を行なわせてもよい。,特定のにおいを発生させる化学物質を作り出す,使用することで、シーンを望むにおいで満たすことができる。GMは状況により、効果の範囲を制限してもよい。GMは必要と感じたなら、<RC)による判定を行なわせてもよい。,
インティミデーション,一般エフェクト,1,メジャーアクション,RC,対決,単体,視界,5,-,,トループのみを対象にできる。射撃攻撃を行なう。命中した場合、対象を戦闘不能とする。このエフェクトを組み合わせた攻撃で、対象にHPダメージを与えることはできない。このエフェクトは1シナリオに1回まで使用できる。,ワーディングをより攻性に解放し、格下の相手を無力化するエフェクト。,,FALSE,FALSE,,,,,,807,2,,,,整備中！まってね,ワーディングをより攻性に解放し、格下の相手を無力化するエフェクト。トループのみを対象にできる。射撃攻撃を行なう。命中した場合、対象を戦闘不能とする。このエフェクトを組み合わせた攻撃で、対象にHPダメージを与えることはできない。このエフェクトは1シナリオに1回まで使用できる。,ワーディングをより攻性に解放し、格下の相手を無力化する,トループのみを対象にできる。射撃攻撃を行なう。命中した場合、対象を戦闘不能とする。このエフェクトを組み合わせた攻撃で、対象にHPダメージを与えることはできない。このエフェクトは1シナリオに1回まで使用できる。,
ヴァイタルアップ,一般エフェクト,1,セットアッププロセス,-,自動成功,自身,至近,効果参照,-,,あなたのHPを+[現在の侵触率-100(最低0)]する。この時、上限を超えてもよい。HPの加算が終了した後、ただちにあなたの侵触率は、増加したHPと同じだけ上昇する。増加したHPは、ダメージで失われるか、シナリオ終了まで持続する。このエフェクトは1シナリオに1回まで使用できる。,生命力を高めるエフェクト。,,FALSE,FALSE,,,,,,808,2,,,,整備中！まってね,生命力を高めるエフェクト。あなたのHPを+[現在の侵触率-100(最低0)]する。この時、上限を超えてもよい。HPの加算が終了した後、ただちにあなたの侵触率は、増加したHPと同じだけ上昇する。増加したHPは、ダメージで失われるか、シナリオ終了まで持続する。このエフェクトは1シナリオに1回まで使用できる。,生命力を高める,あなたのHPを+[現在の侵触率-100(最低0)]する。この時、上限を超えてもよい。HPの加算が終了した後、ただちにあなたの侵触率は、増加したHPと同じだけ上昇する。増加したHPは、ダメージで失われるか、シナリオ終了まで持続する。このエフェクトは1シナリオに1回まで使用できる。,
ウェポンマスタリー,一般エフェクト,3,常時,-,自動成功,自身,至近,-,-,,プリプレイであなたが常備化している武器ひとつを指定する。その攻撃力を+[LV+2]する。このエフェクトは侵蝕率でレベルアップしない。このエフェクトを取得した場合、侵蝕率基本値を+2する。,武器がレネゲイドを通して、あなたと通じ合うことを表わすエフェクト。,2,FALSE,FALSE,,,,,,810,2,,,,整備中！まってね,武器がレネゲイドを通して、あなたと通じ合うことを表わすエフェクト。プリプレイであなたが常備化している武器ひとつを指定する。その攻撃力を+[LV+2]する。このエフェクトは侵蝕率でレベルアップしない。このエフェクトを取得した場合、侵蝕率基本値を+2する。,武器がレネゲイドを通して、あなたと通じ合うことを表わす,プリプレイであなたが常備化している武器ひとつを指定する。その攻撃力を+[LV+2]する。このエフェクトは侵蝕率でレベルアップしない。このエフェクトを取得した場合、侵蝕率基本値を+2する。,
エンハンスアクション,一般エフェクト,3,メジャーアクション,効果参照,-,-,-,4,-,,あらゆる判定と組み合わせることができる。組み合わせた判定のダイスを+[LV×2]個する。このエフェクトは1シナリオに1回まで使用できる。,オーヴァードであることを生かして、さまざまな離れ業を行なうエフェクト。,,FALSE,FALSE,,,,,,811,2,,,,整備中！まってね,オーヴァードであることを生かして、さまざまな離れ業を行なうエフェクト。あらゆる判定と組み合わせることができる。組み合わせた判定のダイスを+[LV×2]個する。このエフェクトは1シナリオに1回まで使用できる。,オーヴァードであることを生かして、さまざまな離れ業を行なう,あらゆる判定と組み合わせることができる。組み合わせた判定のダイスを+[LV×2]個する。このエフェクトは1シナリオに1回まで使用できる。,
カームダウン,一般エフェクト,3,セットアッププロセス,-,自動成功,シーン,視界,3,-,,他エフェクトと組み合わせ不可。そのラウンドの間、シーンに登場しているオーヴァード(含むジャーム)のキャラクターが行なう、あらゆる判定のダイスを-[LV×2]個する。,周囲の空間に、レネゲイドを沈静化させる物質を散布するエフェクト。,,FALSE,FALSE,,,,,,812,2,,,,整備中！まってね,周囲の空間に、レネゲイドを沈静化させる物質を散布するエフェクト。他エフェクトと組み合わせ不可。そのラウンドの間、シーンに登場しているオーヴァード(含むジャーム)のキャラクターが行なう、あらゆる判定のダイスを-[LV×2]個する。,周囲の空間に、レネゲイドを沈静化させる物質を散布する,他エフェクトと組み合わせ不可。そのラウンドの間、シーンに登場しているオーヴァード(含むジャーム)のキャラクターが行なう、あらゆる判定のダイスを-[LV×2]個する。,
ソルジャーコネクト,一般エフェクト,1,セットアッププロセス,-,自動成功,シーン(選択),視界,4,-,,トループのみを対象とする。そのラウンドの間、対象の【行動値】はあなたと同じ値となる。対象はこの効果を拒否可能。,レネゲイドの情報伝達能力を利用して部下と意識を共有し、素早く命令を伝えるエフェクト。,,FALSE,FALSE,,,,,,818,2,,,,整備中！まってね,レネゲイドの情報伝達能力を利用して部下と意識を共有し、素早く命令を伝えるエフェクト。トループのみを対象とする。そのラウンドの間、対象の【行動値】はあなたと同じ値となる。対象はこの効果を拒否可能。,レネゲイドの情報伝達能力を利用して部下と意識を共有し、素早く命令を伝える,トループのみを対象とする。そのラウンドの間、対象の【行動値】はあなたと同じ値となる。対象はこの効果を拒否可能。,
パワーカバー,一般エフェクト,10,オートアクション,-,自動成功,自身,至近,1,-,,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+LVする。,与えられた衝撃をレネゲイドの力でそらすことで防御力を高めるエフェクト。,,FALSE,FALSE,,,,,,821,2,,,,整備中！まってね,与えられた衝撃をレネゲイドの力でそらすことで防御力を高めるエフェクト。あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+LVする。,与えられた衝撃をレネゲイドの力でそらすことで防御力を高める,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+LVする。,
フィジカルエンハンス,一般エフェクト,3,メジャー/リアクション,肉体/感覚,-,-,-,3,-,,組み合わせた判定のクリティカル値を-1する(下限値9)。このエフェクトは1シナリオにLV回まで使用できる。,オーヴァードの力を身体的に応用するエフェクト。,,FALSE,FALSE,,-1,9,,,823,2,,,,整備中！まってね,オーヴァードの力を身体的に応用するエフェクト。組み合わせた判定のクリティカル値を-1する(下限値9)。このエフェクトは1シナリオにLV回まで使用できる。,オーヴァードの力を身体的に応用する,組み合わせた判定のクリティカル値を-1する(下限値9)。このエフェクトは1シナリオにLV回まで使用できる。,
フルディフェンス,一般エフェクト,5,セットアッププロセス,-,自動成功,自身,至近,4,-,,そのラウンドの間、あなたが行なうリアクションとオートアクションの判定のダイスを+[LV×2]個する。ただし、あなたは行動済みとなる。,オーヴァードとしての生存本能を最大限に高め、ただひたすら生き残ることに特化するエフェクト。,,FALSE,FALSE,,,,,,824,2,,,,整備中！まってね,オーヴァードとしての生存本能を最大限に高め、ただひたすら生き残ることに特化するエフェクト。そのラウンドの間、あなたが行なうリアクションとオートアクションの判定のダイスを+[LV×2]個する。ただし、あなたは行動済みとなる。,オーヴァードとしての生存本能を最大限に高め、ただひたすら生き残ることに特化する,そのラウンドの間、あなたが行なうリアクションとオートアクションの判定のダイスを+[LV×2]個する。ただし、あなたは行動済みとなる。,
