id,技能,系統,区分,Lv,名称(原文),名称(正規),読み,動作,消費,条件,対象,射程/形状,時間,抵抗,属性,効果概要,参照,拡張・適用対象,備考
835,ダークハンター,操気,,5,▶【念避印】,念避印,ネンヒイン,▶,2HP,前提:【気旋法】,1体,10m/―,10秒(1R),任意,,対象を【気旋法】の攻撃対象から除外する,AB-23,,
836,ダークハンター,操気,,5,⏩【破邪健身】,破邪健身,ハジャケンシン,⏩,1dHP,,自身,自身/―,10秒(1R),任意,,毒・病気・呪いへの抵抗+2。10レベル以上で魔神・アンデッドからは無効化,AB-23,,
837,ダークハンター,操気,,5,▶【破邪光弾】,破邪光弾,ハジャコウダン,▶,2d(9)HP,,1体,10m/射撃,一瞬,半減,,k20の純エネルギー属性魔法ダメージ。魔神・アンデッドにはk40,AB-23,,
838,ダークハンター,操気,,5,○【魔生法】,魔生法,マショウホウ,○,なし,,,,,,,1dHP消費で回避力・抵抗力判定結果+1。魔域内ではHP消費なし,AB-23,,
839,ダークハンター,操気,,10,○【重操法】,重操法,ジュウソウホウ,○,なし,前提:【皆操法】,,,,,,2H武器を【気操法】に使用できる,AB-24,,
840,ダークハンター,操気,,10,▶【念糸手Ⅱ】,念糸手Ⅱ,ネンシシュニ,▶,2dHP,前提:【念糸手Ⅰ】,自身,自身/―,一瞬/1分(6R),なし,,2本の念糸を腕として扱える,AB-24,,
841,ダークハンター,操気,,10,⏩△【念縛術Ⅲ】,念縛術Ⅲ,ネンバクジュツサン,⏩△,1dHP,前提:【念縛術Ⅱ】,1体,接触/―,10秒(1R),必中,,対象の行動判定-1,AB-24,,
842,ダークハンター,操気,,10,⏩△【縛術強化】,縛術強化,バクジュツキョウカ,⏩△,1dHP,前提:【念縛術Ⅰ】,自身,自身/―,10秒(1R),任意,,【念縛術】の効果を-2にする,AB-24,,
843,ダークハンター,操気,,10,▶【破邪光槍】,破邪光槍,ハジャコウソウ,▶,2dHP,前提:【破邪光弾】,1体,10m/射撃,一瞬,半減,,k30の純エネルギー属性魔法ダメージ,AB-24,,
844,ダークハンター,操気,,10,○【魔遊法】,魔遊法,マユウホウ,○,なし,前提:【魔操法】or【魔生法】,,,,,,1dHP消費で行為判定を振り直す。魔域内ではHP消費なし,AB-24,,
845,ジオマンサー,相域,,1,【天相：降雷】,天相：降雷,テンソウラクライ,⏩,天1～4,,,,一瞬,,雷,「消費した天の命脈点×2」点の確定ダメージ,MA-,,
846,ジオマンサー,相域,,1,【天相：空を欺く】,天相：空を欺く,テンソウソラヲアザムク,⏩,天2,,,,10秒(1R),,雷,太陽の光の影響を受けない。雷属性無効,MA-,,
847,ジオマンサー,相域,,1,【天相：見えない傘】,天相：見えない傘,テンソウミエナイカサ,⏩,天1～3,,,,10秒(1R),,,飛行による移動を防ぎ、空から降るものが当たらなくなる,MA-,,
848,ジオマンサー,相域,,1,【地相：地脈の吸収】,地相：地脈の吸収,チソウチミャクノキュウシュウ,⏩,地1～4,,,,一瞬,,,「消費した地の命脈点×2」点のHP回復,MA-,,
849,ジオマンサー,相域,,1,【地相：地を泳ぐ】,地相：地を泳ぐ,チソウチヲオヨグ,⏩,地1～2,,,,10秒(1R),,,対象は水中にいるものとして扱われる,MA-,,
850,ジオマンサー,相域,,1,【地相：泥濘に沈む】,地相：泥濘に沈む,チソウデイネイニシズム,⏩,地1～3,,,,10秒(1R),,,足が重くなり、移動や回避に制限を受ける,MA-,,
851,ジオマンサー,相域,,1,【人相：活】,人相：活,ジンソウカツ,⏩,人1～4,,,,一瞬,,,「消費した人の命脈点」点のMP回復,MA-,,
852,ジオマンサー,相域,,1,【人相：恐慌】,人相：恐慌,ジンソウキョウコウ,⏩,人1～4,,,,10秒(1R),,精神効果(弱),天地使いへの与ダメージが「消費した人の命脈点×2」点減少,MA-,,
853,ジオマンサー,相域,,1,【人相：反撃の意思】,人相：反撃の意思,ジンソウハンゲキノイシ,⏩,人1～4,,,,一瞬,,,対象が継続的に受けている不利な効果をひとつ解除する,MA-,,
854,ジオマンサー,相域,,5,【天相：因果】,天相：因果,テンソウインガ,⏩,天1～4,,,,10秒(1R),,呪い,ダメージを与えるたびに呪いの確定ダメージを与える,MA-,,
855,ジオマンサー,相域,,5,【天相：天魔の一撃】,天相：天魔の一撃,テンソウテンマノイチゲキ,⏩,天1～4,,,,10秒(1R),,,魔法や類似ダメージを増加させる,MA-,,
856,ジオマンサー,相域,,5,【天相：導きの矢】,天相：導きの矢,テンソウミチビキノヤ,⏩,天1～4,,,,10秒(1R),,,遠隔攻撃の命中力にボーナスを与える,MA-,,
857,ジオマンサー,相域,,5,【地相：宿命の戦士】,地相：宿命の戦士,チソウシュクメイノセンシ,⏩,地2,,,,一瞬,,,HP0以下の対象のHPを10点まで回復し覚醒させる,MA-,,
858,ジオマンサー,相域,,5,【地相：属性の乖離】,地相：属性の乖離,チソウゾクセイノカイリ,⏩,地3,,,,10秒(1R),,呪い,属性ダメージを与えられず受けない,MA-,,
859,ジオマンサー,相域,,5,【地相：巻き上がる砂塵の鎧】,地相：巻き上がる砂塵の鎧,チソウマキアガルサジンノヨロイ,⏩,地1～4,,,,10秒(1R),,,防護点を「消費した地の命脈点×2」点上昇,MA-,,
860,ジオマンサー,相域,,5,【人相：魂の別離】,人相：魂の別離,ジンソウタマシイノベツリ,⏩,人1～4,,,,10秒(1R),,呪い,「消費した人の命脈点×2」点、HPとMPの回復量が減少,MA-,,
861,ジオマンサー,相域,,5,【人相：漏れ出るマナ】,人相：漏れ出るマナ,ジンソウモレデルマナ,⏩,人1～4,,,,10秒(1R),,呪い,魔法行使時に魔力が「消費した人の命脈点」点減少,MA-,,
862,ジオマンサー,相域,,5,【人相：夢喰い】,人相：夢喰い,ジンソウユメグイ,⏩,人1～4,,,,一瞬,,呪い,「消費した人の命脈点×2」点の確定ダメージ,MA-,,
863,ジオマンサー,相域,,10,【天相：七星流れ】,天相：七星流れ,テンソウシチセイナガレ,⏩,天1～4,,,,10秒(1R),,,出目7を振るたび、HPとMPが「消費した天の命脈点」点回復,MA-,,
864,ジオマンサー,相域,,10,【天相：マナの離別】,天相：マナの離別,テンソウマナノリベツ,⏩,天1～4,,,,一瞬,,,対象のMPを「消費した天の命脈点×2」点減少,MA-,,
865,ジオマンサー,相域,,10,【天相：烙印】,天相：烙印,テンソウラクイン,⏩,天1～4,,,,10秒(1R),,,対象に任意属性の弱点を付与する,MA-,,
866,ジオマンサー,相域,,10,【地相：蜃気楼】,地相：蜃気楼,チソウシンキロウ,⏩,地1～4,,,,10秒(1R),,,指定属性の物理・魔法ダメージを減少,MA-,,
867,ジオマンサー,相域,,10,【地相：足掻き】,地相：足掻き,チソウアガキ,⏩,地1～3,,,,10秒(1R),,,対象の移動と行動を制限する,MA-,,
868,ジオマンサー,相域,,10,【地相：大いなる蛇の目】,地相：大いなる蛇の目,チソウオオイナルヘビノメ,⏩,地1～4,,,,10秒(1R),,呪い,ゾロ目が出るたび確定ダメージを与える,MA-,,
869,ジオマンサー,相域,,10,【人相：残像】,人相：残像,ジンソウザンゾウ,⏩,人4,,,,10秒(1R),,,【ブリンク】の効果を得る,MA-,,
870,ジオマンサー,相域,,10,【人相：存在の消失】,人相：存在の消失,ジンソウソンザイノショウシツ,⏩,人1～4,,,,10秒(1R),,,広範囲効果の対象から自動的に除外される,MA-,,
871,ジオマンサー,相域,,10,【人相：人写し】,人相：人写し,ジンソウヒトウツシ,⏩,人1～4,,,,10秒(1R),,呪い,天地使いが受けたダメージを引き受けさせる,MA-,,
872,ウォーリーダー,鼓咆,ランク1,1,⏩【瑕疵への追撃】,瑕疵への追撃,カシヘノツイゲキ,⏩,陣気+1,,味方,,10秒(1R),任意,鼓舞系,弱点の追加ダメージ+1,MA-25,,
873,ウォーリーダー,鼓咆,ランク1,1,⏩【神展の構え】,神展の構え,ジンテンノカマエ,⏩,陣気+1,,味方,,10秒(1R),任意,鼓舞系,移動力+5、制限移動+2,MA-25,,
874,ウォーリーダー,鼓咆,ランク1,1,⏩【怒涛の攻陣Ⅰ】,怒涛の攻陣Ⅰ,ドトウノコウジンイチ,⏩,陣気+1,,味方,,10秒(1R),任意,攻撃系,物理ダメージ+1,MA-25,,
875,ウォーリーダー,鼓咆,ランク2,1,⏩【怒涛の攻陣Ⅱ：烈火】,怒涛の攻陣Ⅱ：烈火,ドトウノコウジンニレッカ,⏩,陣気+1,,味方,,10秒(1R),任意,攻撃系,物理ダメージ+2,MA-25,,
876,ウォーリーダー,鼓咆,ランク2,1,⏩【怒涛の攻陣Ⅱ：旋風】,怒涛の攻陣Ⅱ：旋風,ドトウノコウジンニセンプウ,⏩,陣気+1,,味方,,10秒(1R),任意,攻撃系,命中力+1,MA-25,,
877,ウォーリーダー,鼓咆,ランク1,1,⏩【流麗なる俊陣Ⅰ】,流麗なる俊陣Ⅰ,リュウレイナルシュンジンイチ,⏩,陣気+1,,味方,,10秒(1R),任意,回避系,回避力+1。判定後に消失,MA-25,,
878,ウォーリーダー,鼓咆,ランク2,1,⏩【流麗なる俊陣Ⅱ】,流麗なる俊陣Ⅱ,リュウレイナルシュンジンニ,⏩,陣気+1,,味方,,10秒(1R),任意,回避系,回避力+1,MA-25,,
879,ウォーリーダー,鼓咆,ランク1,1,⏩【鉄壁の防陣Ⅰ】,鉄壁の防陣Ⅰ,テッペキノボウジンイチ,⏩,陣気+1,,味方,,10秒(1R),任意,防御系,防護点+1,MA-25,,
880,ウォーリーダー,鼓咆,ランク2,1,⏩【鉄壁の防陣Ⅱ：鉄鎧】,鉄壁の防陣Ⅱ：鉄鎧,テッペキノボウジンニテツガイ,⏩,陣気+1,,味方,,10秒(1R),任意,防御系,防護点+2,MA-25,,
881,ウォーリーダー,鼓咆,ランク2,1,⏩【鉄壁の防陣Ⅱ：堅体】,鉄壁の防陣Ⅱ：堅体,テッペキノボウジンニケンタイ,⏩,陣気+1,,味方,,10秒(1R),任意,防御系,物理・魔法ダメージを1点軽減,MA-26,,
882,ウォーリーダー,鼓咆,ランク1,1,⏩【強靭なる丈陣Ⅰ】,強靭なる丈陣Ⅰ,キョウジンナルジョウジンイチ,⏩,陣気+1,,味方,,10秒(1R),任意,抵抗系,生命または精神抵抗力+1。判定後に消失,MA-26,,
883,ウォーリーダー,鼓咆,ランク2,1,⏩【強靭なる丈陣Ⅱ】,強靭なる丈陣Ⅱ,キョウジンナルジョウジンニ,⏩,陣気+1,,味方,,10秒(1R),任意,抵抗系,生命または精神抵抗力+1,MA-26,,
884,ウォーリーダー,鼓咆,ランク1,5,⏩【勇壮なる軍歌】,勇壮なる軍歌,ユウソウナルグンカ,⏩,陣気+1,,味方,,10秒(1R),任意,鼓舞系,呪歌の対象を限定する,MA-26,,
885,ウォーリーダー,鼓咆,ランク2,5,⏩【蘇る秘奥】,蘇る秘奥,ヨミガエルヒオウ,⏩,陣気+1,,味方,,10秒(1R),任意,鼓舞系,魔物知識判定を再度行う,MA-26,,
886,ウォーリーダー,鼓咆,ランク3,5,⏩【怒涛の攻陣Ⅲ：轟炎】,怒涛の攻陣Ⅲ：轟炎,ドトウノコウジンサンゴウエン,⏩,陣気+1,,味方,,10秒(1R),任意,攻撃系,物理ダメージ+3,MA-26,,
887,ウォーリーダー,鼓咆,ランク3,5,⏩【怒涛の攻陣Ⅲ：旋刃】,怒涛の攻陣Ⅲ：旋刃,ドトウノコウジンサンセンジン,⏩,陣気+1,,味方,,10秒(1R),任意,攻撃系,命中力+1と物理ダメージ+1,MA-26,,
888,ウォーリーダー,鼓咆,ランク4,5,⏩【怒涛の攻陣Ⅳ：爆焔】,怒涛の攻陣Ⅳ：爆焔,ドトウノコウジンヨンバクエン,⏩,陣気+2,,味方,,10秒(1R),任意,攻撃系,物理ダメージ+3,MA-26,,
889,ウォーリーダー,鼓咆,ランク4,5,⏩【怒涛の攻陣Ⅳ：輝斬】,怒涛の攻陣Ⅳ：輝斬,ドトウノコウジンヨンキザン,⏩,陣気+2,,味方,,10秒(1R),任意,攻撃系,命中力+1と物理ダメージ+1,MA-26,,
890,ウォーリーダー,鼓咆,ランク3,5,⏩【流麗なる俊陣Ⅲ】,流麗なる俊陣Ⅲ,リュウレイナルシュンジンサン,⏩,陣気+1,,味方,,10秒(1R),任意,回避系,回避力+2,MA-26,,
891,ウォーリーダー,鼓咆,ランク4,5,⏩【流麗なる俊陣Ⅳ】,流麗なる俊陣Ⅳ,リュウレイナルシュンジンヨン,⏩,陣気+2,,味方,,10秒(1R),任意,回避系,回避力+2,MA-26,,
892,ウォーリーダー,鼓咆,ランク3,5,⏩【鉄壁の防陣Ⅲ：鋼鎧】,鉄壁の防陣Ⅲ：鋼鎧,テッペキノボウジンサンコウガイ,⏩,陣気+1,,味方,,10秒(1R),任意,防御系,防護点+3,MA-26,,
893,ウォーリーダー,鼓咆,ランク3,5,⏩【鉄壁の防陣Ⅲ：甲盾】,鉄壁の防陣Ⅲ：甲盾,テッペキノボウジンサンコウジュン,⏩,陣気+1,,味方,,10秒(1R),任意,防御系,物理・魔法ダメージを1点軽減,MA-27,,
894,ウォーリーダー,鼓咆,ランク4,5,⏩【鉄壁の防陣Ⅳ：城鎧】,鉄壁の防陣Ⅳ：城鎧,テッペキノボウジンヨンジョウガイ,⏩,陣気+2,,味方,,10秒(1R),任意,防御系,防護点+3,MA-27,,
895,ウォーリーダー,鼓咆,ランク4,5,⏩【鉄壁の防陣Ⅳ：鏡盾】,鉄壁の防陣Ⅳ：鏡盾,テッペキノボウジンヨンキョウジュン,⏩,陣気+2,,味方,,10秒(1R),任意,防御系,物理・魔法ダメージを1点軽減,MA-27,,
896,ウォーリーダー,鼓咆,ランク3,5,⏩【強靭なる丈陣Ⅲ】,強靭なる丈陣Ⅲ,キョウジンナルジョウジンサン,⏩,陣気+1,,味方,,10秒(1R),任意,抵抗系,生命または精神抵抗力+2,MA-27,,
897,ウォーリーダー,鼓咆,ランク4,5,⏩【強靭なる丈陣Ⅳ】,強靭なる丈陣Ⅳ,キョウジンナルジョウジンヨン,⏩,陣気+2,,味方,,10秒(1R),任意,抵抗系,生命または精神抵抗力+2,MA-27,,
898,ウォーリーダー,鼓咆,ランク2,10,⏩【大いなる挑発】,大いなる挑発,オオイナルチョウハツ,⏩,陣気-1,,味方,,10秒(1R),任意,鼓舞系,回避力+1、生命・精神抵抗力+1。軍師の回避力-3、生命・精神抵抗力-3,MA-27,,
899,ウォーリーダー,鼓咆,ランク2,10,⏩【傷痍の見立て】,傷痍の見立て,ショウイノミタテ,⏩,陣気-1,,味方,,10秒(1R),任意,鼓舞系,HP回復量+5,MA-27,,
900,ウォーリーダー,鼓咆,ランク5,10,⏩【怒涛の攻陣Ⅴ：獄火】,怒涛の攻陣Ⅴ：獄火,ドトウノコウジンゴゴッカ,⏩,陣気-5,,味方,,10秒(1R),任意,攻撃系,物理ダメージ+6,MA-27,,
901,ウォーリーダー,鼓咆,ランク5,10,⏩【怒涛の攻陣Ⅴ：颱風】,怒涛の攻陣Ⅴ：颱風,ドトウノコウジンゴタイフウ,⏩,陣気-5,,味方,,10秒(1R),任意,攻撃系,命中力+2と物理ダメージ+2,MA-27,,
902,ウォーリーダー,鼓咆,ランク5,10,⏩【流麗なる俊陣Ⅴ】,流麗なる俊陣Ⅴ,リュウレイナルシュンジンゴ,⏩,陣気-5,,味方,,10秒(1R),任意,回避系,回避力+4,MA-27,,
903,ウォーリーダー,鼓咆,ランク5,10,⏩【鉄壁の防陣Ⅴ：鋼城】,鉄壁の防陣Ⅴ：鋼城,テッペキノボウジンゴコウジョウ,⏩,陣気-5,,味方,,10秒(1R),任意,防御系,防護点+7,MA-27,,
904,ウォーリーダー,鼓咆,ランク5,10,⏩【鉄壁の防陣Ⅴ：巨壁】,鉄壁の防陣Ⅴ：巨壁,テッペキノボウジンゴキョヘキ,⏩,陣気-5,,味方,,10秒(1R),任意,防御系,物理・魔法ダメージを3点軽減,MA-28,,
905,ウォーリーダー,鼓咆,ランク5,10,⏩【強靭なる丈陣Ⅴ：激生】,強靭なる丈陣Ⅴ：激生,キョウジンナルジョウジンゴゲキセイ,⏩,陣気-5,,味方,,10秒(1R),任意,抵抗系,【アウェイクン】と同効果、または生命・精神抵抗力+2,MA-28,,
906,ウォーリーダー,鼓咆,ランク5,10,⏩【強靭なる丈陣Ⅴ：魔泉】,強靭なる丈陣Ⅴ：魔泉,キョウジンナルジョウジンゴマセン,⏩,陣気-5,,味方,,10秒(1R),任意,抵抗系,あらゆる消費MPを5点軽減,MA-28,,
907,ウォーリーダー,陣率,陣率,1,△【陣率：軍師の知略】,陣率：軍師の知略,ジンリツグンシノチリャク,△,なし,先制判定を行うとき,自身,自身/-,10秒(1R),任意,,先制判定をウォーリーダー技能+知力で行える,MA-29,,
908,ウォーリーダー,陣率,陣率,1,⏩【陣率：慮外なる烈撃Ⅰ】,陣率：慮外なる烈撃Ⅰ,ジンリツリョガイナルレツゲキイチ,⏩,陣気-3,,自身,自身/-,10秒(1R),任意,,1回だけ命中力+2と物理ダメージ+2,MA-29,,
909,ウォーリーダー,陣率,陣率,1,⏩【陣率：挙措の予見Ⅰ】,陣率：挙措の予見Ⅰ,ジンリツキョソノヨケンイチ,⏩,陣気-3,,自身,自身/-,10秒(1R),任意,,回避力+3,MA-29,,
910,ウォーリーダー,陣率,陣率,1,⏩【陣率：衝戟の刪削Ⅰ】,陣率：衝戟の刪削Ⅰ,ジンリツショウゲキノサンサクイチ,⏩,陣気-3,,自身,自身/-,10秒(1R),任意,,物理・魔法ダメージを4点軽減,MA-29,,
911,ウォーリーダー,陣率,陣率,1,⏩【陣率：抗拒の推断Ⅰ】,陣率：抗拒の推断Ⅰ,ジンリツコウキョノスイダンイチ,⏩,陣気-3,,自身,自身/-,10秒(1R),任意,,生命・精神抵抗力判定+3,MA-29,,
912,ウォーリーダー,陣率,陣率,1,⏩【陣率：行使専心Ⅰ】,陣率：行使専心Ⅰ,ジンリツコウシセンシンイチ,⏩,陣気-3,,自身,自身/-,10秒(1R),任意,,1回だけ魔法行使判定の達成値+1,MA-29,,
913,ウォーリーダー,陣率,陣率,1,⏩【陣率：効力亢進Ⅰ】,陣率：効力亢進Ⅰ,ジンリツコウリョクコウシンイチ,⏩,陣気-3,,自身,自身/-,10秒(1R),任意,,1回だけ魔法ダメージ+4または回復量+4,MA-29,,
914,ウォーリーダー,陣率,陣率,5,⏩【陣率：掃討の勝鬨】,陣率：掃討の勝鬨,ジンリツソウトウノカチドキ,⏩,なし,軍師が敵をHP0以下にしたとき,自身,自身/-,10秒(1R),任意,,条件達成時に陣気+1,MA-30,,
915,ウォーリーダー,陣率,陣率,5,⏩【陣率：堅固なる布陣】,陣率：堅固なる布陣,ジンリツケンゴナルフジン,⏩,なし,軍師が味方のHPを30点以上回復したとき,自身,自身/-,10秒(1R),任意,,条件達成時に陣気+1,MA-30,,
916,ウォーリーダー,陣率,陣率,5,⏩【陣率：慮外なる烈撃Ⅱ】,陣率：慮外なる烈撃Ⅱ,ジンリツリョガイナルレツゲキニ,⏩,陣気-5,,自身,自身/-,10秒(1R),任意,,1回だけ命中力+4と物理ダメージ+4,MA-30,,
917,ウォーリーダー,陣率,陣率,5,⏩【陣率：挙措の予見Ⅱ】,陣率：挙措の予見Ⅱ,ジンリツキョソノヨケンニ,⏩,陣気-5,,自身,自身/-,10秒(1R),任意,,回避力+5,MA-30,,
918,ウォーリーダー,陣率,陣率,5,⏩【陣率：衝戟の刪削Ⅱ】,陣率：衝戟の刪削Ⅱ,ジンリツショウゲキノサンサクニ,⏩,陣気-5,,自身,自身/-,10秒(1R),任意,,物理・魔法ダメージを7点軽減,MA-30,,
919,ウォーリーダー,陣率,陣率,5,⏩【陣率：抗拒の推断Ⅱ】,陣率：抗拒の推断Ⅱ,ジンリツコウキョノスイダンニ,⏩,陣気-5,,自身,自身/-,10秒(1R),任意,,生命・精神抵抗力判定+5,MA-30,,
920,ウォーリーダー,陣率,陣率,5,⏩【陣率：行使専心Ⅱ】,陣率：行使専心Ⅱ,ジンリツコウシセンシンニ,⏩,陣気-5,,自身,自身/-,10秒(1R),任意,,1回だけ魔法行使判定の達成値+2,MA-30,,
921,ウォーリーダー,陣率,陣率,5,⏩【陣率：効力亢進Ⅱ】,陣率：効力亢進Ⅱ,ジンリツコウリョクコウシンニ,⏩,陣気-5,,自身,自身/-,10秒(1R),任意,,1回だけ魔法ダメージ+7または回復量+7,MA-30,,
922,ビブリオマンサー,秘奥魔法,ランク1,1,⏩【アクス＝マリスティアス-悪意の針-】,アクス＝マリスティアス-悪意の針-,アクスマリスティアス,⏩,MP3,,1体,1(10m)/射撃,一瞬,必中,呪い,2点ダメージ,TC-11,,
923,ビブリオマンサー,秘奥魔法,ランク1,1,【ウェルム＝リイェクタス-拒絶の障壁-】,ウェルム＝リイェクタス-拒絶の障壁-,ウェルムリイェクタス,▶,MP6,,1体,2(30m)/起点指定,3分(18R),任意,,ダメージを止める魔力の障壁を作製,TC-11,,
924,ビブリオマンサー,秘奥魔法,ランク1,1,【コルプス＝レストラーレ-肉体修復-】,コルプス＝レストラーレ-肉体修復-,コルプスレストラーレ,▶,MP5,,1体,2(30m)/起点指定,一瞬,任意,,k20で回復,TC-11,,
925,ビブリオマンサー,秘奥魔法,ランク1,1,【スパティウム＝オクルス-空間視認-】,スパティウム＝オクルス-空間視認-,スパティウムオクルス,▶,MP6,,2～3エリア(半径10m)/空間,術者/-,一瞬,必中,,周囲10mの状態を視認,TC-11,,
926,ビブリオマンサー,秘奥魔法,ランク1,1,【ネブラ＝ウェネーヌムス-猛毒の霧-】,ネブラ＝ウェネーヌムス-猛毒の霧-,ネブラウェネーヌムス,▶,MP8,,1エリア(半径3m)/5,2(30m)/起点指定,一瞬,半減,毒,k10ダメージ,TC-11,,
927,ビブリオマンサー,秘奥魔法,ランク1,1,【ランケア＝ルイナス-破滅の槍-】,ランケア＝ルイナス-破滅の槍-,ランケアルイナス,▶,MP6,,1体,2(30m)/射撃,一瞬,半減,純エネルギー,k20ダメージ,TC-11,,
928,ビブリオマンサー,秘奥魔法,ランク2,4,⏩【アクティオ＝エクソキスムス-退魔活性-】,アクティオ＝エクソキスムス-退魔活性-,アクティオエクソキスムス,⏩,MP6,,術者,術者/-,一瞬,消滅,,望まない効果1つを魔力+4で消去,TC-12,,
929,ビブリオマンサー,秘奥魔法,ランク2,4,⏩【アディシオ＝エレメントゥム-属性付加-】,アディシオ＝エレメントゥム-属性付加-,アディシオエレメントゥム,⏩,MP5,,術者,術者/-,10秒(1R),任意,,魔法に属性を追加する,TC-12,,
930,ビブリオマンサー,秘奥魔法,ランク2,4,【マギカ＝アウゲータス-魔力増強-】,マギカ＝アウゲータス-魔力増強-,マギカアウゲータス,▶,MP6,,術者,術者/-,10秒(1R),任意,,秘奥魔法の魔力+1,TC-12,,
931,ビブリオマンサー,秘奥魔法,ランク2,4,【パラーレ＝アプスコンディートゥス-隠匿対応-】,パラーレ＝アプスコンディートゥス-隠匿対応-,パラーレアプスコンディートゥス,▶,MP7,,全エリア(半径1km)/空間,術者/-,1時間,必中,,不意打ちに対抗する危険感知判定に+2,TC-12,,
932,ビブリオマンサー,秘奥魔法,ランク2,4,【プルケリトゥード-容姿端麗-】,プルケリトゥード-容姿端麗-,プルケリトゥード,▶,MP4,,術者,術者/-,1時間,任意,,「聞き込み判定」+2,TC-12,,
933,ビブリオマンサー,秘奥魔法,ランク2,4,【ルクス＝トライキエンス-貫く光条-】,ルクス＝トライキエンス-貫く光条-,ルクストライキエンス,▶,MP9,,任意の地点,2(50m)/貫通,一瞬,半減,純エネルギー,k30ダメージ,TC-12,,
934,ビブリオマンサー,秘奥魔法,ランク3,7,【モメント＝レストラーレ-瞬間修復-】,モメント＝レストラーレ-瞬間修復-,モメントレストラーレ,▶,MP7,,1体,1(10m)/起点指定,一瞬,任意,,k50で1点以上回復,TC-12,,
935,ビブリオマンサー,秘奥魔法,ランク3,7,【アトモス＝イラプティオ-大気爆発-】,アトモス＝イラプティオ-大気爆発-,アトモスイラプティオ,▶,MP12,,1エリア(半径4m)/10,2(30m)/起点指定,一瞬,半減,衝撃,k40ダメージ,TC-12,,
936,ビブリオマンサー,秘奥魔法,ランク3,7,【マグナ＝サルトゥス-大跳躍-】,マグナ＝サルトゥス-大跳躍-,マグナサルトゥス,▶,MP5,,術者,術者/-,3分(18R),任意,,10m跳躍できる,TC-12,,
937,ビブリオマンサー,秘奥魔法,ランク3,7,【マグナ＝ペルセプティオ-大知覚-】,マグナ＝ペルセプティオ-大知覚-,マグナペルセプティオ,▶,MP14,,1体全,接触/-,1時間,任意,,一度だけ観察判定を後付けで+4,TC-12,,
938,ビブリオマンサー,秘奥魔法,ランク3,7,【ランケア＝ダムナトリウス-断罪の槍-】,ランケア＝ダムナトリウス-断罪の槍-,ランケアダムナトリウス,▶,MP10,,1体,2(50m)/射撃,一瞬,半減,純エネルギー,k50ダメージ,TC-12,,
939,ビブリオマンサー,秘奥魔法,ランク3,7,【レナトゥス＝イニシアトゥス-再生起動-】,レナトゥス＝イニシアトゥス-再生起動-,レナトゥスイニシアトゥス,▶,MP10,,1体,2(30m)/起点指定,一瞬,消滅,,対象を覚醒させ、k40で回復,TC-13,,
940,ビブリオマンサー,秘奥魔法,ランク4,10,△【コングラーレ＝ラピダス-先手凍結-】,コングラーレ＝ラピダス-先手凍結-,コングラーレラピダス,△,MP18,,1体,2(30m)/起点指定,10秒(1R),必中,呪い,対象の主動作を止める,TC-14,,
941,ビブリオマンサー,秘奥魔法,ランク4,10,【ケレリタス＝ウォラートゥス-高速飛行-】,ケレリタス＝ウォラートゥス-高速飛行-,ケレリタスウォラートゥス,▶,MP20,,1体X,接触/-,1時間,任意,,移動力100で飛行できるようになる,TC-14,,
942,ビブリオマンサー,秘奥魔法,ランク4,10,【デネブラス＝カイエンデンス＝ルミナス-闇を裂く閃光-】,デネブラス＝カイエンデンス＝ルミナス-闇を裂く閃光-,デネブラスカイエンデンスルミナス,▶,MP14,,任意の地点,2(50m)/貫通,一瞬,半減,純エネルギー,k60ダメージ,TC-14,,
943,ビブリオマンサー,秘奥魔法,ランク4,10,【デフェンシオス＝ペルフェクタス-完全防護-】,デフェンシオス＝ペルフェクタス-完全防護-,デフェンシオスペルフェクタス,▶,MP20,,物体1つ、または1体全,2(50m)/起点指定,3分(18R),任意,,魔力の壁で守護する,TC-14,,
944,ビブリオマンサー,秘奥魔法,ランク4,10,【モルス＝ウィルトゥアリス-仮想の死-】,モルス＝ウィルトゥアリス-仮想の死-,モルスウィルトゥアリス,▶,MP20,,1体全,2(30m)/起点指定,1日,任意,呪い,生死判定に失敗しても死亡しないが最大HPとMPが減少する,TC-14,,
945,ビブリオマンサー,秘奥魔法,ランク5,13,【エンシス＝ヴァリアビリス-多形の刃-】,エンシス＝ヴァリアビリス-多形の刃-,エンシスヴァリアビリス,▶,MP1～10,,1体,2(30m)/起点指定,一瞬,必中,呪い,1～10点ダメージ,TC-14,,
946,ビブリオマンサー,秘奥魔法,ランク5,13,【スパティウム＝テレポータス-空間転移-】,スパティウム＝テレポータス-空間転移-,スパティウムテレポータス,▶,MP25,,2～3エリア(半径10m)/すべて,術者/-,一瞬,任意,,術者と周囲のキャラクター・物体をまとめて転移させる,TC-14,,
947,ビブリオマンサー,秘奥魔法,ランク5,13,【モルス＝テンペスタス-死の嵐-】,モルス＝テンペスタス-死の嵐-,モルステンペスタス,▶,MP30,,1エリア(半径6m)/20,2(100m)/起点指定,一瞬,半減,呪い,k80ダメージ、生死判定に-20,TC-14,,
